event_id,measure_type,duration_min,block_size,is_full_domain,hist_file,pgw_file,hist_value,pgw_value,diff,ratio,units
5,intensity,30,0,1,WRFrain_noPGW_HPE05.mat,WRFrain_PGW_V3_HPE05.mat,0.08372708,0.038107177,-0.045619903,0.455135621,mm_per_hr
6,intensity,30,0,1,WRFrain_noPGW_HPE06.mat,WRFrain_PGW_V3_HPE06.mat,0.123749928,0.045310706,-0.078439222,0.366147333,mm_per_hr
7,intensity,30,0,1,WRFrain_noPGW_HPE07.mat,WRFrain_PGW_V3_HPE07.mat,0.351556926,0.508108117,0.15655119,1.445308223,mm_per_hr
8,intensity,30,0,1,WRFrain_noPGW_HPE08.mat,WRFrain_PGW_V3_HPE08.mat,0.560825336,0.438518071,-0.122307265,0.781915586,mm_per_hr
9,intensity,30,0,1,WRFrain_noPGW_HPE09.mat,WRFrain_PGW_V3_HPE09.mat,0.603534085,0.597215449,-0.006318636,0.989530606,mm_per_hr
10,intensity,30,0,1,WRFrain_noPGW_HPE10.mat,WRFrain_PGW_V3_HPE10.mat,0.864308684,0.967369596,0.103060912,1.119240861,mm_per_hr
11,intensity,30,0,1,WRFrain_noPGW_HPE11.mat,WRFrain_PGW_V3_HPE11.mat,0.209515832,0.136824839,-0.072690992,0.653052508,mm_per_hr
12,intensity,30,0,1,WRFrain_noPGW_HPE12.mat,WRFrain_PGW_V3_HPE12.mat,0.623607538,0.678649618,0.05504208,1.088263974,mm_per_hr
13,intensity,30,0,1,WRFrain_noPGW_HPE13.mat,WRFrain_PGW_V3_HPE13.mat,0.181301056,0.11371037,-0.067590686,0.627190886,mm_per_hr
14,intensity,30,0,1,WRFrain_noPGW_HPE14.mat,WRFrain_PGW_V3_HPE14.mat,0.777105991,0.603555219,-0.173550772,0.776670398,mm_per_hr
15,intensity,30,0,1,WRFrain_noPGW_HPE15.mat,WRFrain_PGW_V3_HPE15.mat,0.556523842,0.687785586,0.131261744,1.235860054,mm_per_hr
16,intensity,30,0,1,WRFrain_noPGW_HPE16.mat,WRFrain_PGW_V3_HPE16.mat,0.40889643,0.311159847,-0.097736583,0.760974722,mm_per_hr
17,intensity,30,0,1,WRFrain_noPGW_HPE17.mat,WRFrain_PGW_V3_HPE17.mat,0.458207614,0.486308011,0.028100396,1.061326777,mm_per_hr
18,intensity,30,0,1,WRFrain_noPGW_HPE18.mat,WRFrain_PGW_V3_HPE18.mat,0.389351482,0.282558279,-0.106793203,0.725715176,mm_per_hr
19,intensity,30,0,1,WRFrain_noPGW_HPE19.mat,WRFrain_PGW_V3_HPE19.mat,0.196304505,0.305092867,0.108788362,1.554181686,mm_per_hr
